track_number,track_popularity,explicit,artist_popularity,artist_followers,artist_genres,album_id,album_release_date,album_total_tracks,album_type,track_duration_min,release_year,release_month
1,79,False,87,27141717,edm,39FHrt5YWp4HY7dHDn8Owz,2025-10-10,2,single,3.3,2025,10
1,33,False,18,1263,hipdut,5IewtRLurwyZX1ymMd423l,2025-10-10,1,single,3.5,2025,10
1,35,False,23,445,big room,1FgfwzQy0rltxdT9ALU34H,2025-10-10,1,single,3.03,2025,10
1,35,False,19,290,,22vb50tbm97kkhmvCvnsik,2025-10-10,1,single,4.4,2025,10
1,75,True,77,8986062,melodic rap,0UGixmRqK86q9d6T0kAFnv,2025-10-10,1,single,2.78,2025,10
1,37,False,43,17999,,1HH8fxqDDNMlKm2T5C7EuF,2025-10-10,1,single,3.12,2025,10
1,28,False,20,114,,63iDybCEILGBowdFohSeSP,2025-10-10,1,single,3.07,2025,10
1,33,False,20,7785,,7ccsvL6dhojh3gW8ViZusg,2025-10-10,1,single,2.22,2025,10
10,74,False,78,4761364,bedroom pop,12Lig9oAX9nvpWHft5cHgF,2025-10-10,31,album,3.07,2025,10
1,68,False,70,223449,,03loS7NR32bzSoH06Z2ESq,2025-10-10,1,single,2.73,2025,10
1,76,False,66,182377,,5pIGU5FZ74YPdUrBdk9lcC,2025-10-10,3,single,3.61,2025,10
9,35,False,17,4,,3Mrg0RD2DiR7ma3u3lb5zT,2025-10-10,9,album,2.72,2025,10
1,88,False,73,7282227,k-pop,3LOalJiwqPsviLuoNboNfc,2025-10-10,1,single,3.02,2025,10
1,30,False,13,5,,6zU3BVqu50xiQRhlW5Gr2A,2025-10-10,1,single,3.13,2025,10
1,18,False,5,429,,77C5CilG76Vovcb3mtKi09,2025-10-10,1,single,3.02,2025,10
1,39,False,28,631,"hypertechno, melbourne bounce",1B1i85DEAvHLXu7FefdggZ,2025-10-10,1,single,2.75,2025,10
1,18,True,7,308,,7l4BqichAiJVxsXmUcI2zh,2025-10-10,1,single,2.91,2025,10
1,60,False,54,11283,hard techno,3XuFyvJmX0CF4IlrGvkA9r,2025-10-10,1,single,2.45,2025,10
1,39,False,24,435,,4kgNI75BjnV2XiaOMvegxl,2025-10-10,1,single,3.2,2025,10
1,40,False,48,193279,,3qBIUlNmeUWR1ZMdkHYpTi,2025-10-10,1,single,2.92,2025,10
1,51,False,32,37,,1YpdA0q2CSLfAbPo24jED8,2025-10-09,1,single,2.63,2025,10
1,35,False,19,2633,,6u5ctfBfLmlulyYDHhytqM,2025-10-08,1,single,2.21,2025,10
1,31,True,18,435,,3cE0fQECVV51zi5yyXiTNE,2025-10-06,1,single,2.41,2025,10
1,87,False,100,145443567,"country, pop, indie, folk",1W57oNaAkGObOQKBTxg4e9,2025-10-03,12,album,3.76,2025,10
12,93,True,100,145489371,"country, pop, indie, folk",4a6NzYL1YHRUgx9e3YZI6I,2025-10-03,12,album,4.02,2025,10
1,53,False,58,146969,slap house,49vfE41auPohus34Iino7x,2025-10-03,1,single,3.25,2025,10
1,29,False,26,13179,jazz rap,4YQutKXfSCLw7qJc4pITv4,2025-10-03,1,single,2.15,2025,10
1,25,False,15,48,,0fnBDKarUBIEuXZJT0r6DZ,2025-10-03,1,single,3.19,2025,10
1,42,False,37,6199,"melodic bass, future bass",5iaL4PoBJLEe9khqnoMgOu,2025-10-03,1,single,3.45,2025,10
1,39,True,28,405,chicago drill,6OjZR1Cvok6hYjmtOlZYwQ,2025-10-03,1,single,2.9,2025,10
2,28,False,11,54,,5kisseh1oMsVeVpbyWBV9L,2025-10-03,7,album,2.81,2025,10
6,92,False,100,145396321,"country, pop, indie, folk",4a6NzYL1YHRUgx9e3YZI6I,2025-10-03,12,album,3.67,2025,10
1,38,True,32,1844,"melodic bass, nightcore, bass music",7FnI6a9PZTUp70KZ6whfAm,2025-10-03,1,single,2.17,2025,10
3,97,False,100,145443567,"country, pop, indie, folk",4a6NzYL1YHRUgx9e3YZI6I,2025-10-03,12,album,3.92,2025,10
1,39,False,20,475,future house,0T13fYBtT1GpXgtdIiHcU8,2025-10-03,2,single,2.51,2025,10
11,91,True,100,145489371,"country, pop, indie, folk",4a6NzYL1YHRUgx9e3YZI6I,2025-10-03,12,album,3.02,2025,10
1,55,True,49,8741,dark r&b,5aLnMagPMABrEV5xexp5aJ,2025-10-03,2,single,2.23,2025,10
1,40,False,24,3776,,3qS8ON6xAgQy0IzS8ZxBGS,2025-10-03,1,single,2.49,2025,10
7,93,True,100,145396321,"country, pop, indie, folk",4a6NzYL1YHRUgx9e3YZI6I,2025-10-03,12,album,2.72,2025,10
1,32,True,20,5344,,4WZIszwKqggGyJvRiugyrS,2025-10-03,1,single,2.27,2025,10
10,93,True,100,145396321,"country, pop, indie, folk",4a6NzYL1YHRUgx9e3YZI6I,2025-10-03,12,album,3.52,2025,10
8,93,True,100,145396321,"country, pop, indie, folk",4a6NzYL1YHRUgx9e3YZI6I,2025-10-03,12,album,3.45,2025,10
9,93,True,100,145443567,"country, pop, indie, folk",4a6NzYL1YHRUgx9e3YZI6I,2025-10-03,12,album,2.5,2025,10
1,74,False,77,2201446,"stutter house, house",3dmu97DsoFpSptXPtJEzCJ,2025-10-03,1,single,3.65,2025,10
3,75,False,83,13402920,country,40xQAz7RDjeznOtTYeEMLs,2025-10-03,3,single,3.69,2025,10
5,92,True,100,145396321,"country, pop, indie, folk",4a6NzYL1YHRUgx9e3YZI6I,2025-10-03,12,album,4.1,2025,10
2,95,False,100,145489371,"country, pop, indie, folk",4a6NzYL1YHRUgx9e3YZI6I,2025-10-03,12,album,3.47,2025,10
1,40,False,28,4401,,3RqIFGcrmoqWMV7t9S4lh2,2025-10-03,1,single,3.04,2025,10
4,94,True,100,145542136,"country, pop, indie, folk",4a6NzYL1YHRUgx9e3YZI6I,2025-10-03,12,album,3.54,2025,10
2,35,False,51,1151605,"egyptian pop, khaleeji",5XIpOWNfS3eGY9RSxtsg8Q,2025-10-02,6,single,3.72,2025,10
3,75,False,100,145443567,"country, pop, indie, folk",4tFsJC9jQ0Qjj7HSExhAdm,2025-10-02,26,album,3.76,2025,10
1,42,False,23,3629,,6kKwUpSKqq2ESNPwk4mV0z,2025-10-02,1,single,3.11,2025,10
1,52,False,37,1081,,0ZeOEJSTeArDoeDk9FIqrT,2025-10-02,1,single,2.46,2025,10
1,36,False,20,4162,,3m2rW07CPQ0m7CPRs331PV,2025-10-02,1,single,3.57,2025,10
1,31,False,20,3260,moroccan pop,0QJ0Q3QqJRikK1EdWzYQCS,2025-10-02,1,single,2.85,2025,10
1,54,False,69,6204568,"french rap, pop urbaine, french r&b, moroccan pop",03DQwQwDBPlEoYLgsZrn9d,2025-10-02,1,single,2.51,2025,10
1,11,True,12,80,,0jRgjsC1gLn5TaQ1KxEj3K,2025-10-01,1,single,2.61,2025,10
2,23,False,13,22,,4kDfd9klHcraucJMp44v9W,2025-10-01,5,single,2.51,2025,10
1,46,True,29,6670,,7cWdt7NxKyn9OrQOSbcJrY,2025-10-01,1,single,2.33,2025,10
1,28,False,13,290,,2n1nDA48H03nQJS03g4gmn,2025-10-01,1,single,2.99,2025,10
1,27,False,12,6,,26Ft7Jje9sFfFU8YNaCBem,2025-10-01,1,single,3.66,2025,10
1,68,True,74,1377042,,2r7vK3RnYfofnAkMruYhSI,2025-10-01,3,single,2.82,2025,10
1,26,True,14,192,,1VxMimfaUp2mHk6no0Rt51,2025-09-30,1,single,3.16,2025,9
1,24,True,8,13,,359uI58UXQPRDp2ZyJaak5,2025-09-30,1,single,1.7,2025,9
